Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2015-09-30 1:09AM","2015-09-30 8:07AM","378","40","2","418","N/A","N/A","N/A"
"2015-09-29 12:22AM","2015-09-29 7:15AM","365","48","4","413","N/A","N/A","N/A"
"2015-09-28 12:27AM","2015-09-28 8:16AM","412","57","3","469","N/A","N/A","N/A"
"2015-09-27 2:20AM","2015-09-27 11:47AM","533","34","0","567","N/A","N/A","N/A"
"2015-09-26 1:16AM","2015-09-26 9:14AM","447","30","2","478","N/A","N/A","N/A"
"2015-09-24 11:52PM","2015-09-25 7:22AM","424","26","2","450","N/A","N/A","N/A"
"2015-09-24 12:23AM","2015-09-24 8:05AM","442","18","2","462","N/A","N/A","N/A"
"2015-09-22 10:44PM","2015-09-23 7:40AM","497","39","2","536","N/A","N/A","N/A"
"2015-09-22 12:17AM","2015-09-22 7:18AM","398","23","3","421","N/A","N/A","N/A"
"2015-09-20 10:40PM","2015-09-21 7:31AM","499","32","1","531","N/A","N/A","N/A"
"2015-09-20 1:20AM","2015-09-20 10:17AM","500","37","2","537","N/A","N/A","N/A"
"2015-09-18 10:44PM","2015-09-19 7:14AM","481","29","3","510","N/A","N/A","N/A"
"2015-09-17 11:57PM","2015-09-18 7:55AM","440","38","3","478","N/A","N/A","N/A"
"2015-09-17 12:55AM","2015-09-17 7:13AM","354","17","2","378","N/A","N/A","N/A"
"2015-09-16 12:03AM","2015-09-16 7:45AM","424","30","5","462","N/A","N/A","N/A"
"2015-09-15 12:33AM","2015-09-15 7:02AM","358","21","2","389","N/A","N/A","N/A"
"2015-09-14 12:45AM","2015-09-14 8:06AM","400","14","0","441","N/A","N/A","N/A"
"2015-09-13 12:38AM","2015-09-13 10:14AM","537","34","1","576","N/A","N/A","N/A"
"2015-09-12 12:09AM","2015-09-12 9:42AM","549","19","1","573","N/A","N/A","N/A"
"2015-09-10 10:54PM","2015-09-11 6:55AM","459","22","1","481","N/A","N/A","N/A"
"2015-09-09 11:16PM","2015-09-10 6:53AM","435","14","1","457","N/A","N/A","N/A"
"2015-09-08 10:49PM","2015-09-09 7:01AM","452","28","1","492","N/A","N/A","N/A"
"2015-09-07 10:33PM","2015-09-08 6:56AM","460","40","3","503","N/A","N/A","N/A"
"2015-09-06 11:10PM","2015-09-07 9:04AM","550","31","3","594","N/A","N/A","N/A"
"2015-09-06 2:31PM","2015-09-06 4:23PM","108","4","1","112","N/A","N/A","N/A"
"2015-09-05 10:26PM","2015-09-06 8:04AM","530","29","2","578","N/A","N/A","N/A"

