Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2016-11-30 12:14AM","2016-11-30 8:42AM","475","33","3","508","N/A","N/A","N/A"
"2016-11-28 10:48PM","2016-11-29 6:32AM","432","32","1","464","N/A","N/A","N/A"
"2016-11-27 6:21AM","2016-11-27 3:48PM","534","30","2","567","N/A","N/A","N/A"
"2016-11-26 3:51AM","2016-11-26 1:17PM","527","38","2","566","N/A","N/A","N/A"
"2016-11-25 3:03AM","2016-11-25 1:39PM","598","38","1","636","N/A","N/A","N/A"
"2016-11-24 5:09AM","2016-11-24 1:42PM","476","28","1","513","N/A","N/A","N/A"
"2016-11-23 3:06AM","2016-11-23 3:11PM","657","68","2","725","N/A","N/A","N/A"
"2016-11-22 3:32AM","2016-11-22 10:59AM","429","18","0","447","N/A","N/A","N/A"
"2016-11-21 12:33AM","2016-11-21 9:32AM","510","29","1","539","N/A","N/A","N/A"
"2016-11-20 3:39PM","2016-11-20 6:35PM","158","18","0","176","N/A","N/A","N/A"
"2016-11-19 11:55PM","2016-11-20 1:57PM","781","61","3","842","N/A","N/A","N/A"
"2016-11-19 1:43AM","2016-11-19 7:47AM","341","23","1","364","N/A","N/A","N/A"
"2016-11-18 1:38AM","2016-11-18 9:16AM","437","20","1","457","N/A","N/A","N/A"
"2016-11-17 12:16AM","2016-11-17 7:26AM","413","16","0","429","N/A","N/A","N/A"
"2016-11-16 1:07AM","2016-11-16 8:37AM","428","22","1","450","N/A","N/A","N/A"
"2016-11-15 12:39AM","2016-11-15 7:26AM","368","38","0","407","N/A","N/A","N/A"
"2016-11-14 1:19AM","2016-11-14 10:12AM","496","36","1","533","N/A","N/A","N/A"
"2016-11-12 6:41PM","2016-11-13 8:41AM","809","31","1","840","N/A","N/A","N/A"
"2016-11-12 1:36AM","2016-11-12 7:53AM","351","26","1","377","N/A","N/A","N/A"
"2016-11-11 2:16AM","2016-11-11 10:42AM","470","33","1","506","N/A","N/A","N/A"
"2016-11-10 12:38AM","2016-11-10 7:21AM","362","41","3","403","N/A","N/A","N/A"
"2016-11-09 3:09AM","2016-11-09 7:36AM","259","8","1","267","N/A","N/A","N/A"
"2016-11-08 12:45AM","2016-11-08 7:18AM","356","37","2","393","N/A","N/A","N/A"
"2016-11-07 1:28AM","2016-11-07 9:54AM","468","35","2","506","N/A","N/A","N/A"
"2016-11-06 12:50AM","2016-11-06 1:22PM","693","58","1","751","N/A","N/A","N/A"
"2016-11-05 3:26AM","2016-11-05 8:35AM","298","10","0","308","N/A","N/A","N/A"
"2016-11-04 1:10AM","2016-11-04 8:40AM","427","23","1","450","N/A","N/A","N/A"
"2016-11-03 1:37AM","2016-11-03 10:57AM","526","34","1","560","N/A","N/A","N/A"
"2016-11-02 1:21AM","2016-11-02 10:40AM","519","40","1","559","N/A","N/A","N/A"
"2016-11-01 8:45PM","2016-11-01 10:00PM","72","3","1","75","N/A","N/A","N/A"
"2016-11-01 12:37AM","2016-11-01 7:28AM","384","27","1","411","N/A","N/A","N/A"

