Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-03-31 2:47AM","2017-03-31 8:27AM","311","29","20","340","75","174","62"
"2017-03-30 1:00AM","2017-03-30 8:11AM","387","43","27","430","125","156","106"
"2017-03-29 4:30AM","2017-03-29 8:21AM","205","25","13","230","33","141","31"
"2017-03-28 2:29AM","2017-03-28 8:19AM","313","37","19","350","109","114","90"
"2017-03-27 12:27AM","2017-03-27 8:20AM","381","92","31","473","73","234","74"
"2017-03-25 8:30PM","2017-03-26 9:15AM","740","25","1","765","N/A","N/A","N/A"
"2017-03-25 5:47AM","2017-03-25 10:27AM","263","17","2","280","N/A","N/A","N/A"
"2017-03-24 2:41AM","2017-03-24 10:20AM","451","8","1","459","N/A","N/A","N/A"
"2017-03-23 2:35AM","2017-03-23 9:47AM","418","14","0","432","N/A","N/A","N/A"
"2017-03-22 2:12AM","2017-03-22 8:26AM","357","16","0","374","N/A","N/A","N/A"
"2017-03-21 1:45AM","2017-03-21 8:16AM","372","19","2","391","N/A","N/A","N/A"
"2017-03-20 12:28AM","2017-03-20 8:26AM","431","37","4","478","N/A","N/A","N/A"
"2017-03-19 2:00AM","2017-03-19 5:08PM","861","47","3","908","N/A","N/A","N/A"
"2017-03-18 3:03AM","2017-03-18 9:50AM","376","31","0","407","N/A","N/A","N/A"
"2017-03-17 3:07AM","2017-03-17 2:40PM","681","12","0","693","N/A","N/A","N/A"
"2017-03-12 3:33AM","2017-03-12 1:28PM","562","33","1","595","N/A","N/A","N/A"
"2017-03-11 1:48AM","2017-03-11 3:40PM","781","46","2","832","N/A","N/A","N/A"
"2017-03-09 11:38PM","2017-03-10 8:22AM","492","32","1","524","N/A","N/A","N/A"
"2017-03-09 2:18AM","2017-03-09 8:22AM","350","14","0","364","N/A","N/A","N/A"
"2017-03-08 1:14AM","2017-03-08 8:07AM","402","10","0","412","N/A","N/A","N/A"
"2017-03-07 3:26AM","2017-03-07 8:46AM","305","15","2","320","N/A","N/A","N/A"
"2017-03-06 3:50AM","2017-03-06 9:25AM","326","9","0","335","N/A","N/A","N/A"
"2017-03-05 1:02AM","2017-03-05 9:39AM","503","13","1","516","N/A","N/A","N/A"
"2017-03-04 1:33AM","2017-03-04 8:02AM","360","29","2","389","N/A","N/A","N/A"
"2017-03-03 3:18AM","2017-03-03 7:55AM","268","9","0","277","N/A","N/A","N/A"
"2017-03-02 2:12AM","2017-03-02 7:56AM","327","17","1","344","N/A","N/A","N/A"
"2017-02-28 9:52PM","2017-03-01 7:27AM","451","43","2","574","N/A","N/A","N/A"

