Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-05-30 11:40PM","2017-05-31 8:03AM","431","71","33","502","98","270","63"
"2017-05-30 12:01AM","2017-05-30 5:53AM","314","38","24","352","66","189","59"
"2017-05-29 9:28PM","2017-05-29 10:41PM","63","10","0","73","N/A","N/A","N/A"
"2017-05-29 12:04PM","2017-05-29 2:17PM","124","8","1","132","N/A","N/A","N/A"
"2017-05-28 9:48PM","2017-05-29 4:10AM","334","47","27","381","65","206","63"
"2017-05-27 11:46PM","2017-05-28 8:44AM","475","63","28","538","116","290","69"
"2017-05-26 11:21PM","2017-05-27 3:54AM","239","33","18","272","48","111","80"
"2017-05-25 11:55PM","2017-05-26 8:55AM","480","60","31","540","117","301","62"
"2017-05-25 12:49AM","2017-05-25 9:07AM","449","49","36","498","139","246","64"
"2017-05-24 1:23AM","2017-05-24 8:48AM","379","66","22","445","61","264","54"
"2017-05-23 12:43AM","2017-05-23 8:51AM","400","87","29","487","118","228","54"
"2017-05-22 12:25AM","2017-05-22 8:53AM","440","68","28","508","89","305","46"
"2017-05-21 12:44AM","2017-05-21 12:42PM","610","108","46","718","109","417","84"
"2017-05-20 1:56AM","2017-05-20 8:24AM","333","54","22","387","99","174","60"
"2017-05-19 2:18AM","2017-05-19 8:44AM","337","49","23","386","79","188","70"
"2017-05-18 12:11AM","2017-05-18 9:01AM","453","76","22","529","137","224","92"
"2017-05-17 2:22AM","2017-05-17 8:36AM","332","42","25","374","58","224","50"
"2017-05-16 2:02AM","2017-05-16 8:47AM","364","41","24","405","130","169","65"
"2017-05-14 11:42PM","2017-05-15 6:11AM","311","78","18","389","36","229","46"
"2017-05-14 1:50PM","2017-05-14 4:12PM","128","13","0","141","N/A","N/A","N/A"
"2017-05-14 12:17AM","2017-05-14 10:51AM","544","90","35","634","135","311","98"
"2017-05-13 12:55AM","2017-05-13 9:26AM","470","40","37","510","154","219","97"
"2017-05-12 12:49AM","2017-05-12 8:31AM","421","41","24","462","84","255","82"
"2017-05-10 11:53PM","2017-05-11 8:18AM","454","51","29","505","135","226","93"
"2017-05-10 1:25AM","2017-05-10 8:55AM","390","60","24","450","97","264","29"
"2017-05-09 12:06AM","2017-05-09 8:15AM","421","68","29","489","135","196","90"
"2017-05-07 11:15PM","2017-05-08 8:02AM","456","71","31","527","115","262","79"
"2017-05-07 12:30AM","2017-05-07 12:27PM","625","92","48","717","142","407","76"
"2017-05-05 11:24PM","2017-05-06 8:46AM","491","71","29","562","143","249","99"
"2017-05-04 11:16PM","2017-05-05 8:04AM","465","63","33","528","85","327","53"
"2017-05-04 1:01AM","2017-05-04 7:45AM","348","56","27","404","82","210","56"
"2017-05-03 12:29AM","2017-05-03 7:59AM","417","32","33","449","128","232","57"
"2017-05-01 11:38PM","2017-05-02 8:53AM","489","66","36","555","68","368","53"
"2017-05-01 3:04AM","2017-05-01 6:35AM","179","32","13","211","32","109","38"

