Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2016-12-31 5:04AM","2016-12-31 8:20AM","167","29","2","196","N/A","N/A","N/A"
"2016-12-30 8:28AM","2016-12-30 2:16PM","332","16","0","348","N/A","N/A","N/A"
"2016-12-30 2:16AM","2016-12-30 4:32AM","106","29","5","136","N/A","N/A","N/A"
"2016-12-29 7:17AM","2016-12-29 3:24PM","454","28","2","487","N/A","N/A","N/A"
"2016-12-29 4:15AM","2016-12-29 5:25AM","61","9","1","70","N/A","N/A","N/A"
"2016-12-28 3:17AM","2016-12-28 12:07PM","491","36","0","530","N/A","N/A","N/A"
"2016-12-27 12:56PM","2016-12-27 3:50PM","155","18","0","173","N/A","N/A","N/A"
"2016-12-26 11:42PM","2016-12-27 8:10AM","456","52","3","508","N/A","N/A","N/A"
"2016-12-26 1:48PM","2016-12-26 5:21PM","197","16","2","213","N/A","N/A","N/A"
"2016-12-26 4:16AM","2016-12-26 9:13AM","274","22","0","297","N/A","N/A","N/A"
"2016-12-25 11:49AM","2016-12-25 1:22PM","86","4","0","93","N/A","N/A","N/A"
"2016-12-25 3:26AM","2016-12-25 9:02AM","330","6","0","336","N/A","N/A","N/A"
"2016-12-24 2:58AM","2016-12-24 8:27AM","316","13","1","329","N/A","N/A","N/A"
"2016-12-23 11:21PM","2016-12-24 1:34AM","120","13","3","133","N/A","N/A","N/A"
"2016-12-23 6:02AM","2016-12-23 1:13PM","416","15","2","431","N/A","N/A","N/A"
"2016-12-22 11:43PM","2016-12-23 4:29AM","233","53","1","286","N/A","N/A","N/A"
"2016-12-22 7:56AM","2016-12-22 2:08PM","354","17","0","371","N/A","N/A","N/A"
"2016-12-21 5:42AM","2016-12-21 12:47PM","397","28","0","425","N/A","N/A","N/A"
"2016-12-20 12:20AM","2016-12-20 1:48PM","746","62","4","808","N/A","N/A","N/A"
"2016-12-19 5:25PM","2016-12-19 8:57PM","197","9","2","212","N/A","N/A","N/A"
"2016-12-19 6:17AM","2016-12-19 9:30AM","176","17","0","193","N/A","N/A","N/A"
"2016-12-18 8:41AM","2016-12-18 3:37PM","390","25","1","415","N/A","N/A","N/A"
"2016-12-17 7:46AM","2016-12-17 5:32PM","534","51","2","586","N/A","N/A","N/A"
"2016-12-16 4:12AM","2016-12-16 4:47PM","716","39","1","755","N/A","N/A","N/A"
"2016-12-16 2:02AM","2016-12-16 3:10AM","61","7","1","68","N/A","N/A","N/A"
"2016-12-15 9:40PM","2016-12-16 12:45AM","174","11","1","185","N/A","N/A","N/A"
"2016-12-15 6:08AM","2016-12-15 8:06AM","103","14","1","118","N/A","N/A","N/A"
"2016-12-14 6:03PM","2016-12-14 7:27PM","80","4","0","84","N/A","N/A","N/A"
"2016-12-14 4:35AM","2016-12-14 1:13PM","464","29","1","518","N/A","N/A","N/A"
"2016-12-13 2:01AM","2016-12-13 1:50PM","692","17","0","709","N/A","N/A","N/A"
"2016-12-12 1:01AM","2016-12-12 8:35AM","411","43","2","454","N/A","N/A","N/A"
"2016-12-11 2:37AM","2016-12-11 2:43PM","719","7","1","726","N/A","N/A","N/A"
"2016-12-10 3:23AM","2016-12-10 6:16AM","157","16","0","173","N/A","N/A","N/A"
"2016-12-09 2:05AM","2016-12-09 10:21AM","481","14","1","495","N/A","N/A","N/A"
"2016-12-08 1:46AM","2016-12-08 7:35AM","306","43","2","349","N/A","N/A","N/A"
"2016-12-07 1:26AM","2016-12-07 10:12AM","482","44","2","526","N/A","N/A","N/A"
"2016-12-06 2:02AM","2016-12-06 7:29AM","304","23","2","327","N/A","N/A","N/A"
"2016-12-05 1:00AM","2016-12-05 11:00AM","552","47","1","600","N/A","N/A","N/A"
"2016-12-04 2:53AM","2016-12-04 2:08PM","656","18","0","674","N/A","N/A","N/A"
"2016-12-03 2:07AM","2016-12-03 8:01AM","339","15","0","354","N/A","N/A","N/A"
"2016-12-01 11:43PM","2016-12-02 12:10PM","682","65","1","747","N/A","N/A","N/A"
"2016-12-01 12:23AM","2016-12-01 7:26AM","386","36","3","422","N/A","N/A","N/A"

