Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2016-09-30 1:26AM","2016-09-30 8:05AM","392","7","0","399","N/A","N/A","N/A"
"2016-09-29 1:50AM","2016-09-29 7:11AM","307","13","2","320","N/A","N/A","N/A"
"2016-09-28 12:21AM","2016-09-28 7:09AM","370","38","2","408","N/A","N/A","N/A"
"2016-09-27 1:15AM","2016-09-27 7:14AM","331","28","1","359","N/A","N/A","N/A"
"2016-09-26 12:59AM","2016-09-26 8:46AM","411","56","2","467","N/A","N/A","N/A"
"2016-09-24 11:52PM","2016-09-25 12:52PM","709","71","1","780","N/A","N/A","N/A"
"2016-09-24 2:07AM","2016-09-24 9:19AM","387","45","2","432","N/A","N/A","N/A"
"2016-09-23 12:18AM","2016-09-23 8:39AM","474","27","0","501","N/A","N/A","N/A"
"2016-09-21 11:56PM","2016-09-22 6:44AM","365","43","1","408","N/A","N/A","N/A"
"2016-09-21 12:22AM","2016-09-21 6:58AM","365","31","2","396","N/A","N/A","N/A"
"2016-09-19 9:23PM","2016-09-20 7:11AM","513","74","1","588","N/A","N/A","N/A"
"2016-09-18 11:16PM","2016-09-19 7:00AM","441","22","0","463","N/A","N/A","N/A"
"2016-09-17 11:50PM","2016-09-18 8:08AM","485","12","1","498","N/A","N/A","N/A"
"2016-09-17 4:20PM","2016-09-17 7:00PM","144","16","2","160","N/A","N/A","N/A"
"2016-09-17 12:36AM","2016-09-17 7:03AM","366","21","2","387","N/A","N/A","N/A"
"2016-09-16 12:20AM","2016-09-16 7:02AM","375","26","0","402","N/A","N/A","N/A"
"2016-09-15 12:28AM","2016-09-15 7:16AM","373","35","4","408","N/A","N/A","N/A"
"2016-09-14 12:12AM","2016-09-14 7:02AM","382","28","2","410","N/A","N/A","N/A"
"2016-09-13 1:14AM","2016-09-13 7:35AM","350","31","2","381","N/A","N/A","N/A"
"2016-09-12 3:07AM","2016-09-12 9:28AM","346","35","2","381","N/A","N/A","N/A"
"2016-09-11 2:49AM","2016-09-11 11:32AM","503","20","0","523","N/A","N/A","N/A"
"2016-09-10 5:32PM","2016-09-10 6:54PM","70","11","1","81","N/A","N/A","N/A"
"2016-09-10 2:30AM","2016-09-10 10:29AM","439","33","4","478","N/A","N/A","N/A"
"2016-09-09 12:56AM","2016-09-09 8:59AM","438","44","4","483","N/A","N/A","N/A"
"2016-09-08 12:33AM","2016-09-08 7:06AM","349","44","0","393","N/A","N/A","N/A"
"2016-09-06 11:37PM","2016-09-07 7:00AM","388","55","5","443","N/A","N/A","N/A"
"2016-09-05 11:52PM","2016-09-06 7:07AM","366","69","6","435","N/A","N/A","N/A"
"2016-09-05 1:12PM","2016-09-05 3:41PM","137","12","0","149","N/A","N/A","N/A"
"2016-09-05 12:13AM","2016-09-05 9:15AM","453","83","6","542","N/A","N/A","N/A"
"2016-09-04 1:03AM","2016-09-04 11:33AM","571","59","4","630","N/A","N/A","N/A"
"2016-09-03 2:04PM","2016-09-03 4:53PM","158","11","1","169","N/A","N/A","N/A"
"2016-09-03 1:09AM","2016-09-03 10:22AM","531","19","0","552","N/A","N/A","N/A"
"2016-09-02 12:37AM","2016-09-02 9:15AM","476","42","2","518","N/A","N/A","N/A"
"2016-08-31 10:30PM","2016-09-01 6:52AM","446","56","4","502","N/A","N/A","N/A"

