Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-02-28 12:29AM","2017-02-28 8:15AM","450","16","0","466","N/A","N/A","N/A"
"2017-02-26 1:38AM","2017-02-26 2:00PM","701","41","2","742","N/A","N/A","N/A"
"2017-02-25 2:27AM","2017-02-25 9:46AM","394","45","4","439","N/A","N/A","N/A"
"2017-02-24 1:11AM","2017-02-24 8:03AM","389","23","1","412","N/A","N/A","N/A"
"2017-02-23 3:25AM","2017-02-23 8:16AM","263","28","3","291","N/A","N/A","N/A"
"2017-02-22 1:41AM","2017-02-22 8:09AM","357","31","4","388","N/A","N/A","N/A"
"2017-02-21 5:44AM","2017-02-21 11:37AM","336","17","0","353","N/A","N/A","N/A"
"2017-02-19 9:01PM","2017-02-20 12:08PM","823","77","5","906","N/A","N/A","N/A"
"2017-02-19 12:27AM","2017-02-19 12:39PM","682","50","2","732","N/A","N/A","N/A"
"2017-02-18 1:03AM","2017-02-18 11:11AM","573","34","2","608","N/A","N/A","N/A"
"2017-02-17 1:00AM","2017-02-17 8:07AM","404","23","1","427","N/A","N/A","N/A"
"2017-02-16 1:50AM","2017-02-16 8:02AM","348","24","3","372","N/A","N/A","N/A"
"2017-02-15 1:27AM","2017-02-15 9:56AM","490","19","1","509","N/A","N/A","N/A"
"2017-02-13 11:52PM","2017-02-14 7:56AM","434","50","3","484","N/A","N/A","N/A"
"2017-02-13 2:24AM","2017-02-13 8:12AM","318","30","1","348","N/A","N/A","N/A"
"2017-02-12 2:56AM","2017-02-12 12:03PM","493","53","2","547","N/A","N/A","N/A"
"2017-02-11 12:03AM","2017-02-11 8:56AM","463","70","3","533","N/A","N/A","N/A"
"2017-02-09 11:52PM","2017-02-10 9:24AM","529","43","3","572","N/A","N/A","N/A"
"2017-02-09 12:40AM","2017-02-09 8:06AM","404","42","4","446","N/A","N/A","N/A"
"2017-02-07 11:23PM","2017-02-08 9:27AM","574","30","0","604","N/A","N/A","N/A"
"2017-02-07 1:59AM","2017-02-07 8:20AM","357","24","1","381","N/A","N/A","N/A"
"2017-02-06 4:37AM","2017-02-06 11:00AM","371","12","0","383","N/A","N/A","N/A"
"2017-02-05 3:50AM","2017-02-05 10:14AM","372","12","1","384","N/A","N/A","N/A"
"2017-02-04 1:29AM","2017-02-04 7:02AM","310","23","4","333","N/A","N/A","N/A"
"2017-02-03 12:55AM","2017-02-03 7:40AM","384","21","0","405","N/A","N/A","N/A"
"2017-02-02 1:03AM","2017-02-02 8:02AM","372","47","4","419","N/A","N/A","N/A"
"2017-02-01 12:45AM","2017-02-01 10:59AM","549","65","1","614","N/A","N/A","N/A"

