Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2015-12-31 1:43AM","2015-12-31 9:10AM","424","22","1","446","N/A","N/A","N/A"
"2015-12-30 3:11AM","2015-12-30 9:10AM","346","12","0","359","N/A","N/A","N/A"
"2015-12-29 2:15AM","2015-12-29 12:19PM","554","49","2","604","N/A","N/A","N/A"
"2015-12-28 10:05AM","2015-12-28 11:34AM","82","7","2","89","N/A","N/A","N/A"
"2015-12-28 11:35AM","2015-12-28 1:42PM","118","9","0","127","N/A","N/A","N/A"
"2015-12-28 12:43AM","2015-12-28 7:40AM","355","62","3","417","N/A","N/A","N/A"
"2015-12-27 12:53PM","2015-12-27 5:52PM","274","25","1","299","N/A","N/A","N/A"
"2015-12-27 1:13AM","2015-12-27 8:00AM","369","38","1","407","N/A","N/A","N/A"
"2015-12-26 2:37AM","2015-12-26 11:23AM","483","37","1","526","N/A","N/A","N/A"
"2015-12-25 3:01PM","2015-12-25 4:25PM","84","0","0","84","N/A","N/A","N/A"
"2015-12-25 2:22AM","2015-12-25 9:12AM","393","17","1","410","N/A","N/A","N/A"
"2015-12-24 1:51PM","2015-12-24 4:50PM","170","9","2","179","N/A","N/A","N/A"
"2015-12-23 10:31PM","2015-12-24 7:23AM","499","33","1","532","N/A","N/A","N/A"
"2015-12-22 8:48PM","2015-12-23 11:22AM","791","80","6","874","N/A","N/A","N/A"
"2015-12-21 9:44PM","2015-12-22 5:57AM","446","42","3","493","N/A","N/A","N/A"
"2015-12-21 6:12PM","2015-12-21 7:45PM","81","12","2","93","N/A","N/A","N/A"
"2015-12-21 11:24AM","2015-12-21 2:24PM","169","11","3","180","N/A","N/A","N/A"
"2015-12-20 2:54AM","2015-12-20 2:35PM","682","19","0","701","N/A","N/A","N/A"
"2015-12-19 1:44AM","2015-12-19 12:02PM","571","47","3","618","N/A","N/A","N/A"
"2015-12-18 2:56AM","2015-12-18 11:04AM","434","54","2","488","N/A","N/A","N/A"
"2015-12-17 12:16AM","2015-12-17 10:39AM","575","47","2","623","N/A","N/A","N/A"
"2015-12-16 12:39AM","2015-12-16 8:31AM","440","32","0","472","N/A","N/A","N/A"
"2015-12-15 12:10AM","2015-12-15 8:49AM","475","44","2","519","N/A","N/A","N/A"
"2015-12-13 11:55PM","2015-12-14 5:21AM","284","42","2","326","N/A","N/A","N/A"
"2015-12-13 1:13AM","2015-12-13 8:40AM","394","53","2","447","N/A","N/A","N/A"
"2015-12-12 1:42AM","2015-12-12 10:00AM","447","51","3","498","N/A","N/A","N/A"
"2015-12-11 12:32AM","2015-12-11 11:39AM","618","48","2","666","N/A","N/A","N/A"
"2015-12-10 1:13AM","2015-12-10 9:29AM","448","48","3","496","N/A","N/A","N/A"
"2015-12-08 11:48PM","2015-12-09 7:23AM","408","46","3","455","N/A","N/A","N/A"
"2015-12-08 12:25AM","2015-12-08 8:46AM","458","40","4","501","N/A","N/A","N/A"
"2015-12-07 1:34AM","2015-12-07 7:30AM","316","40","3","356","N/A","N/A","N/A"
"2015-12-06 1:47AM","2015-12-06 12:59PM","618","54","1","672","N/A","N/A","N/A"
"2015-12-05 2:10AM","2015-12-05 7:42AM","304","23","3","332","N/A","N/A","N/A"
"2015-12-04 1:28AM","2015-12-04 7:28AM","330","20","1","360","N/A","N/A","N/A"
"2015-12-03 2:22AM","2015-12-03 10:07AM","437","28","1","465","N/A","N/A","N/A"
"2015-12-01 11:43PM","2015-12-02 8:06AM","442","61","2","503","N/A","N/A","N/A"
"2015-12-01 12:35AM","2015-12-01 7:17AM","370","30","1","401","N/A","N/A","N/A"

