Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2015-11-29 11:33PM","2015-11-30 7:18AM","437","28","2","465","N/A","N/A","N/A"
"2015-11-29 1:24AM","2015-11-29 11:14AM","544","46","1","590","N/A","N/A","N/A"
"2015-11-28 2:51AM","2015-11-28 11:04AM","452","37","1","493","N/A","N/A","N/A"
"2015-11-27 1:59AM","2015-11-27 11:24AM","539","21","1","565","N/A","N/A","N/A"
"2015-11-26 3:43PM","2015-11-26 8:42PM","274","25","2","299","N/A","N/A","N/A"
"2015-11-26 10:04AM","2015-11-26 1:55PM","216","15","1","231","N/A","N/A","N/A"
"2015-11-26 4:24AM","2015-11-26 5:28AM","64","0","0","64","N/A","N/A","N/A"
"2015-11-25 10:17AM","2015-11-25 1:58PM","213","7","1","221","N/A","N/A","N/A"
"2015-11-25 2:30AM","2015-11-25 10:00AM","428","22","1","450","N/A","N/A","N/A"
"2015-11-24 12:57AM","2015-11-24 9:14AM","450","40","2","497","N/A","N/A","N/A"
"2015-11-23 12:14AM","2015-11-23 7:23AM","396","33","2","429","N/A","N/A","N/A"
"2015-11-22 12:28AM","2015-11-22 8:34AM","430","56","4","486","N/A","N/A","N/A"
"2015-11-21 10:52AM","2015-11-21 12:09PM","76","1","0","77","N/A","N/A","N/A"
"2015-11-21 1:27AM","2015-11-21 9:18AM","450","20","0","471","N/A","N/A","N/A"
"2015-11-20 12:14AM","2015-11-20 7:26AM","395","36","0","432","N/A","N/A","N/A"
"2015-11-19 12:16AM","2015-11-19 8:08AM","426","46","4","472","N/A","N/A","N/A"
"2015-11-18 12:37AM","2015-11-18 7:29AM","392","20","2","412","N/A","N/A","N/A"
"2015-11-17 12:32AM","2015-11-17 8:23AM","447","24","0","471","N/A","N/A","N/A"
"2015-11-16 12:08AM","2015-11-16 7:34AM","405","33","4","445","N/A","N/A","N/A"
"2015-11-15 1:11AM","2015-11-15 10:35AM","513","50","4","564","N/A","N/A","N/A"
"2015-11-14 12:51AM","2015-11-14 8:51AM","466","14","1","480","N/A","N/A","N/A"
"2015-11-12 11:25PM","2015-11-13 7:30AM","462","23","1","485","N/A","N/A","N/A"
"2015-11-11 11:21PM","2015-11-12 7:02AM","433","28","2","461","N/A","N/A","N/A"
"2015-11-11 10:40AM","2015-11-11 12:56PM","123","13","1","136","N/A","N/A","N/A"
"2015-11-11 1:18AM","2015-11-11 7:37AM","349","30","3","379","N/A","N/A","N/A"
"2015-11-09 11:42PM","2015-11-10 7:23AM","433","28","1","461","N/A","N/A","N/A"
"2015-11-09 12:06AM","2015-11-09 6:47AM","377","24","2","401","N/A","N/A","N/A"
"2015-11-08 2:06PM","2015-11-08 5:07PM","155","22","1","181","N/A","N/A","N/A"
"2015-11-08 1:23AM","2015-11-08 11:26AM","565","37","1","602","N/A","N/A","N/A"
"2015-11-07 12:47AM","2015-11-07 7:19AM","354","35","1","392","N/A","N/A","N/A"
"2015-11-06 12:10AM","2015-11-06 7:38AM","401","45","3","448","N/A","N/A","N/A"
"2015-11-05 1:25AM","2015-11-05 7:28AM","343","20","1","363","N/A","N/A","N/A"
"2015-11-03 11:27PM","2015-11-04 7:21AM","453","21","1","474","N/A","N/A","N/A"
"2015-11-03 1:44AM","2015-11-03 7:41AM","322","30","1","357","N/A","N/A","N/A"
"2015-11-01 11:54PM","2015-11-02 7:29AM","431","22","1","455","N/A","N/A","N/A"
"2015-11-01 12:11AM","2015-11-01 9:49AM","533","44","1","578","N/A","N/A","N/A"

