Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2015-10-31 12:23AM","2015-10-31 9:03AM","484","36","1","520","N/A","N/A","N/A"
"2015-10-30 12:44AM","2015-10-30 8:15AM","437","13","1","451","N/A","N/A","N/A"
"2015-10-28 11:31PM","2015-10-29 7:30AM","428","44","5","479","N/A","N/A","N/A"
"2015-10-28 12:19AM","2015-10-28 7:12AM","379","34","2","413","N/A","N/A","N/A"
"2015-10-27 12:26AM","2015-10-27 7:13AM","385","17","3","407","N/A","N/A","N/A"
"2015-10-25 11:53PM","2015-10-26 8:12AM","443","50","1","499","N/A","N/A","N/A"
"2015-10-25 12:02AM","2015-10-25 8:31AM","483","26","0","509","N/A","N/A","N/A"
"2015-10-23 11:51PM","2015-10-24 6:08AM","344","27","3","377","N/A","N/A","N/A"
"2015-10-23 12:46AM","2015-10-23 8:20AM","434","20","1","454","N/A","N/A","N/A"
"2015-10-21 11:23PM","2015-10-22 7:45AM","451","45","5","502","N/A","N/A","N/A"
"2015-10-21 12:50AM","2015-10-21 8:20AM","409","41","3","450","N/A","N/A","N/A"
"2015-10-20 12:24AM","2015-10-20 7:46AM","407","35","2","442","N/A","N/A","N/A"
"2015-10-19 6:55AM","2015-10-19 7:40AM","30","1","0","45","N/A","N/A","N/A"
"2015-10-17 11:06PM","2015-10-18 9:40AM","605","29","0","634","N/A","N/A","N/A"
"2015-10-17 1:00AM","2015-10-17 9:09AM","434","50","4","488","N/A","N/A","N/A"
"2015-10-16 3:20PM","2015-10-16 4:48PM","84","4","2","88","N/A","N/A","N/A"
"2015-10-16 12:15AM","2015-10-16 8:08AM","447","24","2","473","N/A","N/A","N/A"
"2015-10-14 11:59PM","2015-10-15 7:17AM","411","17","2","438","N/A","N/A","N/A"
"2015-10-14 4:13PM","2015-10-14 6:33PM","123","12","1","140","N/A","N/A","N/A"
"2015-10-14 12:05AM","2015-10-14 8:09AM","448","36","3","484","N/A","N/A","N/A"
"2015-10-13 12:12AM","2015-10-13 8:31AM","475","24","2","499","N/A","N/A","N/A"
"2015-10-12 12:55AM","2015-10-12 4:46AM","205","26","4","231","N/A","N/A","N/A"
"2015-10-11 12:30AM","2015-10-11 8:27AM","448","23","2","477","N/A","N/A","N/A"
"2015-10-09 11:47PM","2015-10-10 7:56AM","425","63","5","489","N/A","N/A","N/A"
"2015-10-08 11:43PM","2015-10-09 8:23AM","485","34","3","519","N/A","N/A","N/A"
"2015-10-07 11:08PM","2015-10-08 7:16AM","434","46","6","488","N/A","N/A","N/A"
"2015-10-07 12:54AM","2015-10-07 8:12AM","418","17","0","438","N/A","N/A","N/A"
"2015-10-05 11:37PM","2015-10-06 7:04AM","415","32","2","447","N/A","N/A","N/A"
"2015-10-05 12:29AM","2015-10-05 8:20AM","413","57","3","470","N/A","N/A","N/A"
"2015-10-04 1:26AM","2015-10-04 9:04AM","440","18","1","458","N/A","N/A","N/A"
"2015-10-03 12:24AM","2015-10-03 9:43AM","511","46","3","559","N/A","N/A","N/A"
"2015-10-01 11:57PM","2015-10-02 7:20AM","382","60","4","442","N/A","N/A","N/A"
"2015-10-01 12:05AM","2015-10-01 7:10AM","396","26","1","425","N/A","N/A","N/A"

