Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2016-05-30 11:39PM","2016-05-31 12:18PM","686","58","3","759","N/A","N/A","N/A"
"2016-05-30 1:40AM","2016-05-30 9:17AM","417","31","3","457","N/A","N/A","N/A"
"2016-05-28 11:26PM","2016-05-29 1:09PM","757","53","1","823","N/A","N/A","N/A"
"2016-05-27 11:10PM","2016-05-28 9:56AM","582","37","3","646","N/A","N/A","N/A"
"2016-05-26 11:29PM","2016-05-27 8:03AM","490","15","0","514","N/A","N/A","N/A"
"2016-05-25 10:58PM","2016-05-26 10:55AM","633","77","5","717","N/A","N/A","N/A"
"2016-05-24 10:13PM","2016-05-25 7:33AM","520","37","1","559","N/A","N/A","N/A"
"2016-05-23 11:16PM","2016-05-24 8:19AM","499","43","4","543","N/A","N/A","N/A"
"2016-05-22 9:56PM","2016-05-23 9:45AM","657","46","4","709","N/A","N/A","N/A"
"2016-05-21 10:14PM","2016-05-22 7:03AM","502","20","2","529","N/A","N/A","N/A"
"2016-05-20 5:50PM","2016-05-21 5:42AM","687","18","1","712","N/A","N/A","N/A"
"2016-05-18 1:25PM","2016-05-19 7:45AM","1068","31","1","1099","N/A","N/A","N/A"
"2016-05-17 3:35AM","2016-05-17 5:32AM","116","1","0","117","N/A","N/A","N/A"
"2016-05-16 5:05PM","2016-05-17 1:28AM","491","12","1","503","N/A","N/A","N/A"
"2016-05-15 8:52AM","2016-05-15 7:35PM","631","12","0","643","N/A","N/A","N/A"
"2016-05-14 3:54AM","2016-05-14 5:29PM","787","28","2","815","N/A","N/A","N/A"
"2016-05-13 11:31PM","2016-05-14 12:47AM","67","9","1","76","N/A","N/A","N/A"
"2016-05-13 3:23AM","2016-05-13 6:33AM","178","12","0","190","N/A","N/A","N/A"
"2016-05-12 5:28PM","2016-05-12 6:40PM","68","4","0","72","N/A","N/A","N/A"
"2016-05-11 10:16PM","2016-05-12 3:34PM","902","127","8","1038","N/A","N/A","N/A"
"2016-05-10 11:18PM","2016-05-11 6:31AM","394","38","5","433","N/A","N/A","N/A"
"2016-05-10 8:03PM","2016-05-10 9:15PM","64","8","0","72","N/A","N/A","N/A"
"2016-05-09 11:35PM","2016-05-10 4:42PM","896","131","9","1027","N/A","N/A","N/A"
"2016-05-08 11:41PM","2016-05-09 1:27PM","770","37","3","826","N/A","N/A","N/A"
"2016-05-08 5:17AM","2016-05-08 7:04PM","767","60","4","827","N/A","N/A","N/A"
"2016-05-07 12:20PM","2016-05-07 7:37PM","415","22","2","437","N/A","N/A","N/A"
"2016-05-06 3:55AM","2016-05-06 10:38AM","351","52","3","403","N/A","N/A","N/A"
"2016-05-05 10:34PM","2016-05-06 12:01AM","76","11","1","87","N/A","N/A","N/A"
"2016-05-05 6:25AM","2016-05-05 4:38PM","550","63","3","613","N/A","N/A","N/A"
"2016-05-04 3:29AM","2016-05-04 2:15PM","617","28","2","645","N/A","N/A","N/A"
"2016-05-03 2:13AM","2016-05-03 3:47PM","750","43","0","814","N/A","N/A","N/A"
"2016-05-02 2:38AM","2016-05-02 1:07PM","565","59","2","629","N/A","N/A","N/A"

